weight_kg,pressure_alt_ft,roc_ftmin_at_-25C,roc_ftmin_at_0C,roc_ftmin_at_15C,roc_ftmin_at_25C,roc_ftmin_at_50C
580,0,703,569,449,340,495
580,1000,652,519,400,292,455
580,2000,601,469,351,244,415
580,3000,550,419,302,196,375
580,4000,499,369,253,148,335
580,5000,448,319,204,101,295
580,6000,397,270,156,53,255
580,7000,347,220,107,5,215
550,0,777,635,508,394,557
550,1000,723,582,457,344,515
550,2000,669,530,405,293,473
550,3000,615,477,354,242,431
550,4000,562,425,302,192,389
550,5000,508,372,251,142,347
550,6000,454,320,200,91,304
550,7000,401,268,149,41,262
500,0,915,759,620,494,674
500,1000,856,701,563,438,627
500,2000,796,643,506,383,581
500,3000,737,585,449,327,534
500,4000,678,527,393,272,488
500,5000,619,470,336,216,442
500,6000,560,412,280,161,395
500,7000,502,355,224,106,349
