weight_kg,pressure_alt_ft,segment,dist_m_at_-25C,dist_m_at_0C,dist_m_at_15C,dist_m_at_25C,dist_m_at_50C
580,0,ground_roll,124,136,149,161,144
580,0,over_50ft,243,267,292,316,282
580,1000,ground_roll,128,141,154,167,148
580,1000,over_50ft,252,277,302,328,290
580,2000,ground_roll,133,146,160,173,152
580,2000,over_50ft,261,287,314,340,299
580,3000,ground_roll,138,152,166,180,157
580,3000,over_50ft,271,298,325,353,308
580,4000,ground_roll,143,158,172,186,162
580,4000,over_50ft,281,309,338,366,317
580,5000,ground_roll,149,164,178,193,167
580,5000,over_50ft,292,321,350,380,327
580,6000,ground_roll,154,170,185,201,172
580,6000,over_50ft,303,333,364,394,337
580,7000,ground_roll,160,176,192,209,177
580,7000,over_50ft,314,346,378,410,348
580,8000,ground_roll,166,183,200,217,183
580,8000,over_50ft,327,360,393,425,359
580,9000,ground_roll,173,190,208,225,188
580,9000,over_50ft,339,374,408,442,370
580,10000,ground_roll,180,198,216,234,194
580,10000,over_50ft,353,388,424,460,382
550,0,ground_roll,111,122,134,145,129
550,0,over_50ft,218,240,262,284,253
550,1000,ground_roll,115,127,138,150,133
550,1000,over_50ft,226,249,272,295,261
550,2000,ground_roll,120,132,144,156,137
550,2000,over_50ft,235,258,282,306,269
550,3000,ground_roll,124,137,149,161,141
550,3000,over_50ft,243,268,293,317,277
550,4000,ground_roll,129,142,155,168,145
550,4000,over_50ft,253,278,304,329,285
550,5000,ground_roll,134,147,160,174,150
550,5000,over_50ft,262,289,315,342,294
550,6000,ground_roll,139,153,167,181,154
550,6000,over_50ft,272,300,327,355,303
550,7000,ground_roll,144,159,173,188,159
550,7000,over_50ft,283,311,340,368,313
550,8000,ground_roll,150,165,180,195,164
550,8000,over_50ft,294,323,353,383,322
550,9000,ground_roll,155,171,187,202,169
550,9000,over_50ft,305,336,367,398,333
550,10000,ground_roll,162,178,194,210,175
550,10000,over_50ft,317,349,381,413,343
500,0,ground_roll,92,101,110,120,107
500,0,over_50ft,180,199,217,235,209
500,1000,ground_roll,95,105,114,124,110
500,1000,over_50ft,187,206,225,244,216
500,2000,ground_roll,99,109,119,129,113
500,2000,over_50ft,194,214,233,253,222
500,3000,ground_roll,102,113,123,133,117
500,3000,over_50ft,201,221,242,262,229
500,4000,ground_roll,106,117,128,138,120
500,4000,over_50ft,209,230,251,272,236
500,5000,ground_roll,110,122,133,144,124
500,5000,over_50ft,217,239,260,282,243
500,6000,ground_roll,115,126,138,149,128
500,6000,over_50ft,225,248,270,293,251
500,7000,ground_roll,119,131,143,155,132
500,7000,over_50ft,234,257,281,304,258
500,8000,ground_roll,124,136,149,161,136
500,8000,over_50ft,243,267,292,316,266
500,9000,ground_roll,128,141,154,167,140
500,9000,over_50ft,252,278,303,329,275
500,10000,ground_roll,134,147,160,174,144
500,10000,over_50ft,262,289,315,341,284
