weight_kg,pressure_alt_ft,vy_kias,roc_ftmin_at_-25C,roc_ftmin_at_0C,roc_ftmin_at_15C,roc_ftmin_at_25C,roc_ftmin_at_50C
580,0,66,1238,987,764,562,850
580,2000,66,1047,801,581,383,701
580,4000,66,858,615,399,204,552
580,6000,66,668,430,218,27,403
580,8000,65,480,246,37,-151,254
580,10000,65,292,62,-143,-327,105
580,12000,65,104,-121,-322,-503,-44
580,14000,65,-82,-303,-501,-679,-193
550,0,66,1339,1077,842,631,933
550,2000,66,1140,882,651,443,777
550,4000,66,941,687,460,256,621
550,6000,65,742,493,271,70,464
550,8000,65,545,300,81,-116,308
550,10000,65,348,107,-107,-301,152
550,12000,65,151,-85,-296,-486,-4
550,14000,64,-44,-276,-483,-669,-161
500,0,66,1532,1246,991,760,1089
500,2000,66,1315,1033,782,556,919
500,4000,65,1098,821,575,352,749
500,6000,65,882,610,368,149,579
500,8000,65,667,400,162,-53,409
500,10000,64,452,190,-44,-255,239
500,12000,64,238,-19,-249,-456,68
500,14000,64,25,-227,-453,-656,-102
